Time	Force
2.77840	-510.25074
2.77845	-511.84582
2.77850	-509.33926
2.77855	-489.28673
2.77860	-513.66878
2.77865	-491.79330
2.77870	-512.30156
2.77875	-510.70647
2.77880	-510.25074
2.77885	-511.16221
2.77890	-499.76873
2.77895	-490.42608
2.77900	-508.88352
2.77905	-499.76873
2.77910	-489.74247
2.77915	-509.33926
2.77920	-512.30156
2.77925	-507.51630
2.77930	-512.07369
2.77935	-492.93265
2.77940	-495.89495
2.77945	-514.12452
2.77950	-490.19821
2.77955	-512.07369
2.77960	-508.88352
2.77965	-498.62939
2.77970	-504.55400
2.77975	-498.85726
2.77980	-491.79330
2.77985	-500.90808
2.77990	-510.93434
2.77995	-498.85726
2.78000	-512.07369
2.78005	-498.85726
2.78010	-512.30156
2.78015	-497.26217
2.78020	-514.58026
2.78025	-496.35069
2.78030	-502.73104
2.78035	-514.58026
2.78040	-512.52943
2.78045	-511.16221
2.78050	-508.65565
2.78055	-503.87039
2.78060	-488.60312
2.78065	-516.63108
2.78070	-492.24904
2.78075	-500.90808
2.78080	-510.70647
2.78085	-513.44091
2.78090	-507.28843
2.78095	-515.94748
2.78100	-492.93265
2.78105	-502.50317
2.78110	-513.66878
2.78115	-516.17534
2.78120	-502.27530
2.78125	-516.17534
2.78130	-492.47691
2.78135	-514.80813
2.78140	-506.60482
2.78145	-487.91952
2.78150	-490.65395
2.78155	-510.02287
2.78160	-489.74247
2.78165	-515.26387
2.78170	-506.14908
2.78175	-514.58026
2.78180	-497.49004
2.78185	-513.44091
2.78190	-499.08513
2.78195	-493.38839
2.78200	-511.61795
2.78205	-486.09656
2.78210	-510.47860
2.78215	-509.11139
2.78220	-494.07199
2.78225	-513.66878
2.78230	-507.51630
2.78235	-488.60312
2.78240	-501.81956
2.78245	-512.52943
2.78250	-494.07199
2.78255	-513.21304
2.78260	-485.86869
2.78265	-510.47860
2.78270	-492.93265
2.78275	-489.05886
2.78280	-510.02287
2.78285	-510.47860
2.78290	-495.66708
2.78295	-481.99491
2.78300	-509.56713
2.78305	-487.46378
2.78310	-509.33926
2.78315	-507.74417
2.78320	-483.36212
2.78325	-505.00973
2.78330	-505.00973
2.78335	-493.16052
2.78340	-493.84412
2.78345	-492.47691
2.78350	-505.92121
2.78355	-496.35069
2.78360	-506.37695
2.78365	-484.95721
2.78370	-502.50317
2.78375	-501.13595
2.78380	-507.51630
2.78385	-487.00804
2.78390	-504.78187
2.78395	-483.13425
2.78400	-501.36382
2.78405	-507.06056
2.78410	-484.72934
2.78415	-497.94578
2.78420	-507.06056
2.78425	-505.46547
2.78430	-491.10969
2.78435	-484.50147
2.78440	-506.83269
2.78445	-500.68021
2.78450	-503.87039
2.78455	-481.08343
2.78460	-497.03430
2.78465	-504.55400
2.78470	-492.93265
2.78475	-480.85556
2.78480	-507.28843
2.78485	-484.50147
2.78490	-501.59169
2.78495	-505.00973
2.78500	-491.33756
2.78505	-507.74417
2.78510	-487.69165
2.78515	-506.60482
2.78520	-505.23760
2.78525	-489.74247
2.78530	-495.66708
2.78535	-506.83269
2.78540	-491.56543
2.78545	-494.75560
2.78550	-505.92121
2.78555	-480.62769
2.78560	-506.14908
2.78565	-504.55400
2.78570	-487.91952
2.78575	-501.59169
2.78580	-503.87039
2.78585	-486.55230
2.78590	-507.06056
2.78595	-484.95721
2.78600	-503.87039
2.78605	-504.78187
2.78610	-481.53917
2.78615	-488.83099
2.78620	-490.65395
2.78625	-505.46547
2.78630	-492.93265
2.78635	-501.59169
2.78640	-505.00973
2.78645	-493.38839
2.78650	-499.31299
2.78655	-506.14908
2.78660	-480.17195
2.78665	-504.78187
2.78670	-487.00804
2.78675	-505.23760
2.78680	-496.57856
2.78685	-499.31299
2.78690	-488.60312
2.78695	-490.65395
2.78700	-504.32613
2.78705	-484.72934
2.78710	-500.90808
2.78715	-489.28673
2.78720	-504.09826
2.78725	-505.23760
2.78730	-492.93265
2.78735	-503.18678
2.78740	-480.85556
2.78745	-498.62939
2.78750	-485.86869
2.78755	-489.05886
2.78760	-502.73104
2.78765	-481.31130
2.78770	-499.99660
2.78775	-504.09826
2.78780	-489.74247
2.78785	-494.75560
2.78790	-503.64252
2.78795	-490.19821
2.78800	-498.17365
2.78805	-505.23760
2.78810	-502.27530
2.78815	-489.51460
2.78820	-482.90638
2.78825	-503.64252
2.78830	-489.28673
2.78835	-502.73104
2.78840	-489.97034
2.78845	-482.45065
2.78850	-506.83269
2.78855	-485.41295
2.78860	-502.27530
2.78865	-479.71621
2.78870	-502.73104
2.78875	-503.18678
2.78880	-502.04743
2.78885	-484.95721
2.78890	-502.27530
2.78895	-482.67852
2.78900	-492.02117
2.78905	-503.18678
2.78910	-489.74247
2.78915	-506.14908
2.78920	-483.36212
2.78925	-506.14908
2.78930	-489.28673
2.78935	-505.69334
2.78940	-494.75560
2.78945	-502.50317
2.78950	-490.42608
2.78955	-487.69165
2.78960	-506.14908
2.78965	-482.45065
2.78970	-507.06056
2.78975	-506.83269
2.78980	-490.19821
2.78985	-501.59169
2.78990	-507.97204
2.78995	-489.28673
2.79000	-506.14908
2.79005	-504.32613
2.79010	-488.37525
2.79015	-507.51630
2.79020	-487.91952
2.79025	-507.51630
2.79030	-493.16052
2.79035	-506.60482
2.79040	-490.42608
2.79045	-507.51630
2.79050	-483.36212
2.79055	-502.95891
2.79060	-482.90638
2.79065	-497.03430
2.79070	-505.69334
2.79075	-480.39982
2.79080	-485.64082
2.79085	-504.78187
2.79090	-506.14908
2.79095	-499.31299
2.79100	-493.38839
2.79105	-504.32613
2.79110	-478.80473
2.79115	-505.92121
2.79120	-485.64082
2.79125	-500.45234
2.79130	-484.50147
2.79135	-501.81956
2.79140	-490.19821
2.79145	-506.14908
2.79150	-506.37695
2.79155	-485.86869
2.79160	-505.92121
2.79165	-502.73104
2.79170	-493.84412
2.79175	-483.36212
2.79180	-506.14908
2.79185	-493.84412
2.79190	-483.36212
2.79195	-507.28843
2.79200	-481.99491
2.79205	-490.65395
2.79210	-507.06056
2.79215	-488.60312
2.79220	-508.42778
2.79225	-486.55230
2.79230	-506.14908
2.79235	-490.65395
2.79240	-489.97034
2.79245	-508.42778
2.79250	-489.97034
2.79255	-508.65565
2.79260	-502.27530
2.79265	-507.06056
2.79270	-501.59169
2.79275	-482.90638
2.79280	-509.33926
2.79285	-506.60482
2.79290	-502.73104
2.79295	-497.49004
2.79300	-493.84412
2.79305	-500.45234
2.79310	-511.16221
2.79315	-495.89495
2.79320	-493.61626
2.79325	-508.88352
2.79330	-511.84582
2.79335	-514.35239
2.79340	-510.70647
2.79345	-501.36382
2.79350	-499.08513
2.79355	-514.12452
2.79360	-489.51460
2.79365	-509.56713
2.79370	-497.94578
2.79375	-513.44091
2.79380	-494.98347
2.79385	-506.83269
2.79390	-512.52943
2.79395	-500.22447
2.79400	-513.44091
2.79405	-492.02117
2.79410	-512.30156
2.79415	-500.45234
2.79420	-500.22447
2.79425	-515.49174
2.79430	-493.61626
2.79435	-494.98347
2.79440	-515.26387
2.79445	-489.74247
2.79450	-511.39008
2.79455	-514.35239
2.79460	-510.02287
2.79465	-510.93434
2.79470	-510.47860
2.79475	-510.02287
2.79480	-512.75730
2.79485	-510.70647
2.79490	-499.08513
2.79495	-511.84582
2.79500	-508.65565
2.79505	-514.80813
2.79510	-490.19821
2.79515	-503.87039
2.79520	-512.30156
2.79525	-505.23760
2.79530	-494.75560
2.79535	-498.85726
2.79540	-514.80813
2.79545	-493.16052
2.79550	-515.71961
2.79555	-496.57856
2.79560	-502.04743
2.79565	-513.21304
2.79570	-489.28673
2.79575	-515.49174
2.79580	-512.07369
2.79585	-493.38839
2.79590	-505.00973
2.79595	-492.93265
2.79600	-509.79500
2.79605	-514.80813
2.79610	-492.02117
2.79615	-513.89665
2.79620	-513.44091
2.79625	-499.31299
2.79630	-487.46378
2.79635	-515.94748
2.79640	-510.93434
2.79645	-515.26387
2.79650	-490.19821
2.79655	-514.12452
2.79660	-495.21134
2.79665	-513.44091
2.79670	-511.16221
2.79675	-489.74247
2.79680	-510.70647
2.79685	-504.55400
2.79690	-497.94578
2.79695	-511.61795
2.79700	-489.28673
2.79705	-495.66708
2.79710	-511.84582
2.79715	-492.93265
2.79720	-513.44091
2.79725	-487.00804
2.79730	-516.17534
2.79735	-503.87039
2.79740	-513.21304
2.79745	-515.03600
2.79750	-497.49004
2.79755	-513.66878
2.79760	-509.33926
2.79765	-487.91952
2.79770	-512.75730
